year,run_size,int_catch,expansion,peak,spread
1980,312141,4249,73,65,19
1981,435316,4070,107,61,18
1982,320291,5844,55,65,20
1983,364991,4849,75,65,18
1984,433266,7012,62,62,18
1985,1295255,9084,143,68,21
1986,972927,7209,135,61,17
1987,398343,6352,63,62,17
1988,585317,4696,125,58,18
1989,585552,4804,122,56,16
1990,988875,8551,116,59,16
1991,859274,7669,112,56,18
1992,741618,5733,129,58,15
1993,809578,5814,139,60,15
1994,1498436,11243,133,56,14
1995,1673067,10584,158,57,14
1996,867582,7286,119,54,15
1997,1638591,6910,237,58,10
1998,3601186,19805,182,47,13
1999,3077958,13929,221,49,12
2000,746792,10084,74,46,11
2001,3288607,19120,172,50,15
2002,2438549,20987,116,48,14
2003,1609582,14014,115,52,14
2004,2878832,19613,147,53,12
2005,1505666,15261,99,49,13
2006,2288955,19338,118,47,17
2007,1190696,10944,109,49,13
2008,1116438,13286,84,44,13
2009,610255,13474,45,45,10
2010,599521,13444,45,42,11
2011,1137722,5202,219,54,12
2012,1625150,17179,95,42,10
2013,1310111,15064,87,48,14
2014,1627951,12809,127,44,10
2015,1401562,11826,119,47,12
2016,2312000,16701,138,48,11
